Date,High ,Low,Open,Close,Volume
8/17/2020,1.18518,1.18809,1.18286,1.18745,302913
8/18/2020,1.18745,1.19656,1.18742,1.19464,326671
8/19/2020,1.19463,1.19526,1.18302,1.18437,530325
8/20/2020,1.1844,1.18711,1.18019,1.18695,426158
8/21/2020,1.18694,1.18828,1.17541,1.17949,382696
8/23/2020,1.17911,1.18065,1.17911,1.17981,6344
8/24/2020,1.17981,1.18495,1.17841,1.17934,214796
8/25/2020,1.17934,1.18435,1.17841,1.18339,421874
8/26/2020,1.1834,1.18406,1.17721,1.184,274334
8/27/2020,1.18403,1.19018,1.17623,1.18205,467463
8/28/2020,1.18205,1.19197,1.18109,1.19018,567105
8/30/2020,1.18998,1.19202,1.18996,1.19171,8337
8/31/2020,1.1917,1.1966,1.1884,1.19367,995810
9/1/2020,1.19368,1.20113,1.19013,1.19226,376211
9/2/2020,1.19224,1.19239,1.18221,1.18457,739073
9/3/2020,1.18458,1.18646,1.17889,1.18412,892495
9/4/2020,1.18413,1.18654,1.17809,1.18371,952444
9/6/2020,1.18432,1.18469,1.18319,1.18342,15550
9/7/2020,1.18342,1.18486,1.18116,1.18188,471442
9/8/2020,1.18187,1.18273,1.1757,1.17667,908457
9/9/2020,1.17667,1.18339,1.17527,1.18037,842889
9/10/2020,1.18035,1.19175,1.18004,1.18234,1083345
9/11/2020,1.18237,1.18741,1.18237,1.18453,905065
9/13/2020,1.18348,1.18473,1.18347,1.18404,20612
9/14/2020,1.18404,1.1888,1.18319,1.18671,900798
9/15/2020,1.1867,1.19005,1.18395,1.18419,893131
9/16/2020,1.1842,1.18825,1.17876,1.18045,998109
9/17/2020,1.18043,1.18561,1.17373,1.18468,1401773
9/18/2020,1.18468,1.18705,1.1826,1.18385,1078631
9/20/2020,1.18369,1.18498,1.18369,1.18456,29090
9/21/2020,1.18455,1.18717,1.17317,1.17626,1313004
9/22/2020,1.17627,1.17715,1.16916,1.17059,1027218
9/23/2020,1.1706,1.17188,1.16513,1.16568,1089510
9/24/2020,1.16567,1.16869,1.16265,1.16735,1080761
9/25/2020,1.16735,1.1685,1.16121,1.16277,973131
9/27/2020,1.16271,1.16377,1.16206,1.16341,14367
9/28/2020,1.16341,1.16799,1.1615,1.16768,1029121
9/29/2020,1.16768,1.17457,1.16652,1.17414,978170
9/30/2020,1.17414,1.17548,1.16847,1.17232,1342334
10/1/2020,1.17234,1.17696,1.17171,1.17439,1320034
10/2/2020,1.17439,1.17445,1.16956,1.17157,1382599
10/4/2020,1.1711,1.17201,1.17053,1.17195,34538
10/5/2020,1.17195,1.17975,1.17176,1.17891,1035160
10/6/2020,1.17889,1.18077,1.17302,1.17371,1216173
10/7/2020,1.1737,1.17818,1.17249,1.17657,1176371
10/8/2020,1.17657,1.17816,1.17326,1.17668,1112872
